id;gum;es
607;Truras kѳtrѳ kѳsrѳ puikѳn chipelѳkѳn.;Dicen que en una época de lluvias
608;Nampe pi yu amtruwarker cha.;Que los Misak Misak Nacimos del agua
609;Namuy kellimisakmera waminchipelѳkѳn;Cuentan nuestros mayores
610;Nam misakpe chukutri amtruilѳ.;Origen del Ser Misak Misak
611;Wentѳ kualѳmmera kѳrik puram mѳntray trek kѳrѳsram nepun maya urekchelan;Todo mi consejo no lo quisiste aceptar, lo despreciaste y hasta allí llegó tu vida: así te llegó la muerte
612;Chuchape mutam mѳskawan srѳl icha trantra chip pe;Puede ser que se den cuenta y tengan que hablar algo de mí.
613;Nun chull kѳpitѳ llirap unam kaik kѳtancha, kan pѳñik unѳ nitrap intrapcha paya kusrѳp pun;Tal vez me vaya mal o quizás no pase nada
614;Chuchape mutam mѳskawan srѳl icha trantra chip pe;pero no me atrevo, tengo miedo, mucho miedo de ir
615;Mutam mѳskay srulѳwam srѳl icha trantra chip pun.;Por eso quisiera consultar con un sentidor
616;Chuchape mananak kѳn isum kaik wan isua;Quiero ir a coger unas gallinas y no sé lo que me pueda pasar
617;Wam kѳntrap kuy kѳmѳntrap kuy kѳrik pala paip kѳrik isup mikmatap chish isup paip wamintiyan;Todo comenzó una vez mientras la chucha pensaba así
618;Chuchapa srulѳpa waminchipelѳ kuikѳn chi atrapik wan chi puray trapikwan. Kalѳ puntrap kuy kalѳ kѳmѳntrap kѳmuy;La chucha y el armadillo hablaron de lo que iba a venir, de lo que iba a pasar
619;yali misrar;los disfrazados
620;pipik pѳnsreik;las ofrendas
621;kansrѳ;mundo de los muertos
622;kueikwan utrik;fúnebre
623;trѳtrapen;amanecer
624;kashiraik yem;matrimonio
625;srulѳ;armadillo
626;irraku;chucha
627;purik;erizo
628;kaumish;tigre
629;wik;oso
630;kucahi;ardilla
631;kau umpu amѳñip ushamera;animales del monte
632;kaulli;caballo
633;kuchi;cerdo
634;pulkѳtsѳ;cuy
635;kalullapenku;conejo
636;weera;perro
637;mish;gato
638;waara;vaca
639;atuall;gallina
640;yau ushamera;animales domésticos
641;kѳllelei wan;himno guambiano
642;tampalkuari wan mantѳ maramik eshkapik;proceso de elaboración del sombrero tradicional
643;pulѳ pillik;azul celeste
644;pulik;blanco
645;usrik;gris
646;yalik;negro
647;yalѳ pikik;vino tinto
648;pulѳ pikik;rosado
649;rѳjѳ;pikik
650;yalѳ ѳskѳik;naranja
651;ѳskѳik;amarillo
652;chilka;verde
653;pillik;azul
654;yalѳ pillik;morado
655;pasrѳntsik;telar
656;pѳitulu;nalgas
657;pѳitañik;cadera
658;patsѳ;abdomen
659;kual;brazo
660;llik;espalda
661;tsѳkѳl;uñas
662;katsik urek;dedos de los pies
663;katsik;pies
664;srѳp tsim;pierna
665;tasik urek;dedos de las manos
666;tasik;manos
667;mantrѳ;corazón
668;kiltun;hombros
669;nilѳ;lengua
670;kim;nariz
671;kap;ojo
672;kalu;oreja
673;kap isik;pestañas
674;kap palѳ;frente
675;kap tun;cejas
676;pusruk;cabello
677;nѳ;trato con respeto a la pareja
678;kepame;siga
679;kepame;entre
680;kuaje;saludo al llegar a una casa y llamar a los dueños de la casa
681;ka mawar;estoy bien con el orden de las aguas
682;ka kualmar;amanecí en orden con las aguas
683;tantѳ yemkѳn;ya es de noche
684;¿ka mawatitru?;¿cómo va la tarde?
685;¿ka kualmku?;¿Cómo amaneciste?
686;¿matѳkee?;¿ustedes están siendo como el agua?
687;¿matuku?;¿tú estás siendo como el agua?
688;¿punѳte?;saludo si la persona va subiendo
689;¿pantrѳte?;saludo si la persona va bajando
690;¿chapkѳ?;saludo en el trabajo
691;pishintѳ kualman;saludo amanecer frío
692;pishintѳ mawan;saludo tarde fría
693;pachitѳ kualman;saludo amanecer soleado
694;pachitѳ mawan;saludo tarde de sol
695;pachitѳken;saludo en dia soleado
696;pishintѳkѳn;saludo en dia frío
697;mѳrѳpelѳ;sabios
698;Michiya;casas pequeñas a base de barro y techo de paja
699;pishintѳ kѳmweyasik;buscando armonia y equilibro
700;yawelѳ;familia
701;tampalkuari;macrocosmos
702;tapikwan aship pesrѳ tikk wan isup kѳkun;conozcamos lo bueno y lo malo para aprender de la vida, para la vida colectiva y personal
703;kѳtrѳtik;humilde
704;yatul;huerta
705;yaketa;patio de la casa
706;chikѳpik piishintѳpѳk, chikѳpik piishintѳkualmap, chikѳpik piishintѳ mawap;estado donde el humano Misak siempre procura mantener la armonia y equilibrio de todas las cosas
707;wampisrѳ;pisos bioclimaticos del territorio Lugar bajo donde se cultiva el maíz y el trigo
708;kausrѳ;lugar de las montañas o páramos
709;srѳl kiepasrѳpik;sabio sentidor
710;aves mѳchileras;wasr srap illi
711;wasr;jigra
712;pall;reboso
713;tampalkuari;sombrero
714;pѳrtsik;chumbe
715;jullau;enagua
716;lusik;anaco
717;pawey;collares
718;Nukѳtrak;Bogotá
719;nu;grandeza
720;namuywan untak tѳka kusrep amun;vamos aprendiendo lo nuestro con amor
721;Shulla kѳn, shulla kѳn;Shulla descansa, Shulla descansa
722;Yatarau wapipe, yatarau wapipe;En el patio, en el patio
723;Nack chak mei ampan, Nack chak mei ampan;Van hacia al fogón, van hacia el fogón.
724;Wetѳtriyawape, wetѳtriyawape;Se encuentran, se encuentran
725;Tata kѳn, tata kѳn;Tata viene, Tata viene
726;Kusrmei atrupipe, kusrmei atrupipe;Hacia la derecha , hacia la derecha
727;Kuachi kѳn, kuachi kѳn;Una ardilla, una ardilla
728;Tusr yu nepipipe;Sube en el árbol
729;Kuchi kѳn, kuchi kѳn;Un cerdito, un cerdito
730;Lente atrupipe, lente atrupipe;Viene bajando, viene bajando
731;Pirѳ kѳn, pirѳ kѳn;Es la tierra es la tierra
732;Nampuna pѳntreipe;Donde pisamos
733;Pѳsrpasran, pѳsrpasran;Está el sol, está el sol
734;Palasrѳmpe, palasrѳmpe;En el cielo en el cielo
735;Palasrѳmpe;En el cielo
736;piur;chorro
737;pichill;crespo
738;parѳ;hambre
739;malla;rápido
740;mѳsr;cola
741;lantѳik;corto
742;kusr;péguele
743;kasrak;contento
744;kѳtrak;páramo
745;kѳtrak;frío
746;chish;limpio
747;chillik;sucio
748;chillik;mugroso
749;ѳrѳpa;todo
750;ѳrѳpa;entero
751;muchap;besar
752;mannѳp;dar de comer
753;luship;regar
754;kutrap;levantarse
755;kuanѳp;chuzar
756;kuaalap;hervir
757;kepip;entrar
758;kep;ponerse
759;keerѳp;meter
760;karup;mandar
761;eshekѳp;jugar
762;ellkuap;sembrar
763;trikkalus;labios
764;milisik;barba
765;pishku;pene
766;chuka;vagina
767;ani;sangre
768;kiñu;encía
769;maraktrapu;axila
770;pѳikѳrѳ;ano
771;shill pѳitsi;intestino delgado
772;weruk pѳitsi;intestino grueso
773;pulѳ mantrѳ;páncreas
774;yalѳ mantrѳ;hígado
775;shau mantrѳ;pulmón
776;isramsruk;corazón
777;pirau;en el suelo
778;ѳsrѳ;allá
779;uyu;ahí
780;yu;aquí
781;pintrѳke;al frente
782;yap;lejos
783;lutau;cerca
784;pulu;muy cerca
785;pala;arriba
786;kusr;derecha
787;atsi;desigual
788;atsi;izquierda
789;wampik;afuera
790;umpu;debajo
791;umpu;adentro
792;metrap;adelante
793;wentau;atrás
794;atrup;venir
795;ip;ir
796;pusrkuaik;adolorido
797;pusrkuap;doler
798;kulur;color
799;pisik;pintado
800;unai;del pequeño
801;mѳkelѳ;varones
802;mѳkelѳ;hombres
803;ѳskѳilѳ;amarillos
804;pikelѳ;rojos
805;wasr;mochila
806;ilik;bufanda
807;pѳsr;sol
808;kuari;sombrero
809;katsik;pié
810;pall;paño
811;uñip;estar caminando
812;wap;estar sentado
813;pasrap;estar parado
814;mekap;estar colgado
815;eshka kun;digamos
816;eshka kun;contemos
817;munchimeran;a los nombres
818;nѳmui;de ellas
819;nѳmui;de ellos
820;ñimui;de ustedes
821;namui;de nosotros
822;nѳmpe;en cuanto a ellos
823;nѳm;ellas
824;nѳm;ellos
825;ñim;ustedes
826;ku kuh?;eres?
827;kѳmu kuh?;no eres?
828;kѳmur;no soy
829;kѳmѳn;no es
830;kur;soy
831;kѳn;es
832;kѳ?;es?
833;mu;¿quíen?
834;chi;¿qué?
835;munchi;nombre
836;nui;de ella
837;nui;de él
838;ñui;de ti
839;ñui;de usted
840;nai;mío
841;nai;de mí
842;nѳ;ella
843;nѳ;el
844;ñi;tú
845;ñi;usted
846;nape;en cuanto a mi
847;ѳ;ése
848;ѳ;éso
849;i;éste
850;i;ésto
851;tsurѳ;jaspeado
852;usrѳ;gris
853;ѳskѳ;amarillo
854;pilli;azul
855;pikѳ;rojo
856;yalѳ;negro
857;pulѳ;blanco
858;Tampal kuari;espirales del tiempo-espacio Wampía.
859;Petekui;autoridad que representó al pueblo Misak y combatió durante la invasión española en el gran Kauca
860;chillca;verde
861;pikik;rojo
862;Srѳptsim;pierna
863;Tasik;mano
864;Kual;brazo
865;Kim;nariz
866;Kap;ojo
867;Tur;cabeza
868;Kauka;Cauca
869;Mui;para quién?
870;Mui;de quién?
871;pi urek;Quienes hablan Pishimisak
872;Nam;dos personas conformadas en pareja
873;Nam;nosotros
874;mama pishimisak Ñi;territorio y agua
875;Tata Kallim;autoridad y autonomía
876;Pusruk;pelo
877;Yaskѳn;autoridad que representó al pueblo Misak y combatió durante la invasión española en el gran Kauca
878;Tampal kuari;Sombrero propio del pueblo Misak
879;Payan;autoridad que representó al pueblo Misak y combatió durante la invasión española en el gran Kauca
880;Pishimarөpik;Médico tradicional quien realiza los refrescamientos de acuerdo a diferentes manifestaciones de la naturaleza, relación con los seres humanos.
881;Pishimisak;espíritu mayor amo y dueño de la naturaleza del pueblo Misak
882;Tatamera, Mamamera;Nombre denominado a personas que ejercen como cabildante durante el año de servicio.
883;Pөrөtsik;Bastón de autoridad
884;Pөrtsi;Chumbe, parte del vestido de la mujer Misak
885;Nak Chak;cocina
886;Mөrөpik;Médico tradicional que interpreta y prevea diferentes manifestaciones involuntarias de la madre naturaleza y algunas señas del cuerpo por quienes los consulten de acuerdo a su necesidad
887;Kauka;madre de los bosques y de los espíritus naturales
888;Kөllelai Wam;voz de los mayores
889;Na;yo
890;Nu Nak Chak;Organización social de los catorce Cabildos Misak
891;tsi;diez
892;tratѳ pip;nueve
893;tratѳ pѳn;ocho
894;tratѳ pan;siete
895;tratѳ kan;seis
896;pip;cuatro
897;pѳn;tres
898;par;dos
899;kan;uno
900;nu nak;fogón grande
901;metrap srɵ mai kuiwan kampa wam wan paya mɵra kusrewa waminchikun;volvamos a utilizar el kaampawam, preguntemos a nuestros mayores y hablemos sin miedo.
902;kɵtrinchip wam-meratɵka waminchip kuinatan;así estamos hablando
903;tsak wamera;utilizamos palabras que hieren y lastiman a los demás
904;Mɵipe tsurik;Hoy en día interferimos con el español
905;kasratɵ lincha Misak Misak pishintɵ warɵntrai isua pɵrikuinkɵn;para que hablaran y se comunicaran con ese lenguaje y pudieran vivir paz y en armonía
906;incha tru wamtɵka waminchip kusrenanɵp untak wamtɵka;para que valoren y protejan lo que existe en su entorno natural
907;pɵtɵ katan chi kɵpiwan untaram kusrentrai;para que las nuevas generaciones las interpretaran y aprendieran
908;wentɵ urekmera asha kusrentrai;dejó escrito el lenguaje natural en piedras en la vereda El Tranal
909;Metrapsrɵmpe pirau misak kapen namui nu usri ɵsikikua tranara keta nɵtrɵ srumerayu pɵra warik kuinkɵn;Antes cuando el hombre no existía nuestra madre tierra en su sabiduría
910;metrapsrɵ mai marɵpelɵ kuiwan wetɵtrantrap inchikun chishtɵ ɵsik amɵnamtik kɵntrai;para que tengamos una vida sana
911;mɵilɵpe wampikutri mamik ketrupelɵpe kuantrɵ nikar kɵn;volvamos a preparar los alimentos como lo hacían nuestras abuelas
912;pusɵkusrmuei inchipelɵkɵn;algunos productos que vienen de afuera traen enfermedades
913;kichimuei;no se muelen ni se machacan como antes
914;Mɵikualɵmpe chi kɵpikuan penatɵ mapelɵkɵn;Hoy en día todos los alimentos se compran
915;sruktampal llirainkuintɵ nupatɵ kichipikuinkɵn;en el centro tenía un agujero donde caían los granos y se molía por grandes cantidades
916;incha tru sruk tampal tɵpɵtaku kitsam trulmeran kekɵtrɵrska;de esta manera movía una piedra circular plana
917;nu sruk tampal lliranɵpikuinkɵn;luego le hacían un desnivel para que el agua cogiera fuerza
918;nu piyu kutri pimai wesrawa mur lenteyu piwan lulɵsrka;del rio sacaban un canal
919;kinuan pemai kitchipelɵ kɵntan;el maíz y la quinua
920;purawan;el trigo
921;Metrapsrɵmpe kal purawan;Antes se molía diferente
922;Nu kuarө;como el gran verano.
923;Lamө sre;periodo de lluvias cortas.
924;Lamө kuarө;verano corto.
925;Sre pөl;época de las grandes lluvias.
926;pi kɵlisruantɵpe nam misak kucha pinɵntrapkɵn.;Cuando se seque el agua nosotros dejaremos de existir.
927;kɵllelan metrapsrɵ mai kɵpikuiwan paya mɵra markun;preguntemos a nuestros mayores cómo se conservaba el agua.
928;Pi tusrmeran pikap pɵtɵkatan ellwakun;Sembremos árboles en los ojos de agua
929;kakѳn pikapmerape mɵsik tɵkarkua kuapelɵkɵntan;los nacimientos de agua tienen vida y si no los cuidamos se secarán
930;pikap puluwan puraitruacha kape tru puluwan puram-melɵkɵntan;pedían permiso para pasar o no llegaban cerca de los nacimientos de agua
931;ishumisakpe papɵ misren esekapelɵkuinkɵn;las mujeres cuando estaban menstruando se cuidaban
932;maikɵpentɵ lliramɵtɵ;pedían permiso para pasar
933;trepikapmeran untaram kusrepelɵkuinkɵn;cuidaban los nacimientos de agua salada
934;metrapsrɵma nam-misakmerape piwan ellwapelɵkuinkɵn;nuestros antepasados sembraron el agua
935;Nampe piurekmera ker incha piwam untaramik-kɵn;Somos hijos del agua y debemos protegerla
936;trumarsrɵ Misak Misak pishintɵ tap lincha waramtik kɵntrai.;para que no perdamos lo nuestro y así podremos pervivir en el tiempo y en espacio como Misak Misak.
937;ñim srɵ uremera ñimuinuk pasran namui chi kupikuan trupishimɵntrap;en ustedes está en las nuevas generaciones
938;namui namtriwan wetɵtrakun trukutrimpe namui chi kɵpikwan wetɵtrantrap;recuperemos la lengua para recuperarlo todo
939;kampa wam wan wetɵtrawa kɵrmɵ waminchikun;volvamos a encontrar el lenguaje natural y hablemos sin miedo
940;Kɵllelɵ wamintilan wentɵpasrmukun;Cuando hablan nuestros mayores no los ignoremos
941;mɵinkutri namui wam wan wetɵtrap ampen kɵntrun.;la única alternativa que nos queda es hablar el Namui Wam.
942;kɵllelɵ waminchene ka intsatɵ mɵrɵpkɵn;cuando hablan los mayores siempre se burlan
943;pulelɵ latei kɵntrap ashipelɵkɵn;quieren ser como
944;wampikiwantɵ tap kui asan;les gusta más lo de afuera
945;ashene penɵkɵp kape kɵrikɵp latei;tal vez sea por timidez o por miedo
946;srusralmera namui-wan mɵrentɵ waminchikɵmui intan;entienden el Namui Wam pero no quieren hablarlo
947;Mɵin kualɵmpe urek, matsɵrelɵ;Hoy en día los niños los jóvenes y las señoritas
948;Purѳ waminchip, kѳllik misakmera tul ampá putraiknuk;Senado
949;Misak pirѳ;Resguardo
950;Nu pirau misak;República
951;Kѳllik misak purѳ waminchai wesrua pasrik;Representante o senador
952;Nu pirau, Tѳpirau, Munish pirau mántѳ ashá karuik.;Regimen
953;Pirau chí kѳpen tréntѳ trek kѳpelѳ;Recursos naturales
954;Tѳpѳpirѳ;Provincia
955;Nu isuik;Política
956;Chíyu kѳpen ashá karup putrѳntrai, wesrua pѳnsraikle, Nu pirѳ ѳrѳsrѳ.;Poder público
957;Chi kѳpen nѳtrѳ isua, mántѳ marѳp ampámelѳ;Plan de desarrollo
958;Chí kѳpen tѳka kuiklѳ, naintѳkui sѳtѳelaikui, maya elaikui;Patrimonio
959;Kan ketѳtѳ linchip purukuyap;Participación
960;Kan ketѳtѳ isuik, pishintѳ tap linchá karup tasik tranѳp.;Orden justo
961;Nu pirau kal-laiknuk.;Nación
962;Munish pirau;Municipio
963;Mú purѳ misrimѳra isupelѳ kuikwan ilѳsrkaikmik kѳmik.;Libertad de culto
964;Chí ilѳsrkaikmik isupik kѳmik;Libertad de conciencia
965;Mú chí ilѳsrkaikmik.;Libertad
966;Trek kѳntrai wamwan pѳrik;Ley
967;Ampѳmay imay kѳѳsrѳp, mѳrtrai, latá tranѳp, latá wachip.;Justicia
968;Karupelѳ mѳpurap misak waraikwan ahsá karik;Jurisdicción
969;Mѳkatѳ kucha kѳmѳ, tѳpѳták pasrѳná kѳrѳsrѳp wachipik.;Juez
970;Yanámik kѳmѳwei, penámik kѳmѳwei, penap yanámelѳ kѳmѳn.;Inalienable
971;Nu pirau pilá mѳrik án peñipik, mayaelan ashá pirisha purkúmik.;Ingresos corrientes de la nación
972;Purѳ waminchipik;Vocero
973;Mei mѳi purѳmisrѳnkarupik, wamwan pѳrik;Tutela
974;Parík;Título
975;Srѳ támarik misak pirѳ, kal-lawá wareiknuk.;Territorio Indígena
976;Mayá misakmera;Sociedad
977;Mú mantámkaik, purѳ punamkaik, mayaelai wam.;Soberanía
978;Chinchá múkucha kietramik kѳmik, ulѳ purѳ kѳn.;Inembargable
979;Manákucha patsѳkamik kѳmik, truyu yaná warercha nѳmuy marámik kѳmik.;Imprescriptible
980;Srѳ támarik misak pirѳmera, ashá karup perá marámik.;Entidad territorial
981;Nu pirau nu wamwan trek kѳntrai isua pѳrikpa, trek kѳntrai wamwan pѳrikpa mántѳ karuikwan marámikpa.;Estado social de derecho
982;Nu pirau;Estado
983;Chi kѳpiktѳ án tránѳpik ashá tѳka kuiklѳ.;Economía
984;Pek pek misakmerá.;Diversidad étnica
985;Chi kѳpen tѳkakѳmik, tѳkar kѳntrai kѳn.;Derecho
986;Tѳpirѳ;Departamento
987;Kan ketѳtѳ karup kѳmik.;Democracia
988;Tap isua merá, linchá chi marámik kѳn.;Deber u obligación
989;Trentѳ treklѳ, chi tѳkaiklѳ, maiklѳ kuik.;Cultura
990;Nu wamwan trek kѳntrei isua pѳrik.;Constitución
991;Purѳ pѳnsraiklѳ kѳllik misakmera tulampá wamwan trek kѳntrai isua pѳrѳp putraiknuk.;Congreso
992;Misak truyu kal-laweik né isuaik.;Ciudadano
993;Tratrá wará;Capítulo
994;Tepirau kutre pure pensraik kellik misakmera tu ampá putraiknuk.;Cámara
995;Misak pirau ashá karup perá marѳpele.;Autoridad Indígena
996;Nu pirau ashá karup putrapele.;Autoridad del Estado (República)
997;Nѳmte isua ashá marѳpele.;Autonomía.
998;Tѳm.;Artículo.
999;Métrap pishau misak esekawá serik tulmera, yapalѳmera-;Arqueológico.
1000;Ashá karup putrapelѳ.;Administración.
1001;PULθ TRIKMAITθ ASAMIK PθNTRAP WAMMERAN NAMTRIKMAI ISUA PURθ PθNSRAIKLθ;TRADUCCIÓN DETALLADA DE ALGUNAS PALABRAS IMPORTANTES
1002;Trek wesrup maramikwan, isua martrap mentappe, Nu pirau: karnpelepa misakwei purap pure waminchip putrapelepa, Táta merapa tap ¡sua maramik kѳntai ashchún, án peñipik wankuchá trúyu warap misakpe latá asámik kѳntrai.;Si piensan hacer una explotación en estos territorios, las autoridades del territorio mayor coordinarán con los representantes de las autoridades indígenas para mirar como vive la gente, sus formas de producir y conservar todo completo con pensamiento claro para no hacer daño. Las gentes que viven en esos territorios tendrán igual derecho a la participación de los recursos que lleguen, según los acuerdos que hagan con el gobierno del territorio mayor.
1003;Kemesraik: Misak pirau: pѳtekatan mepa kuimpurap, piransrel, tsantsenlataik, pirѳ umpúsre chíkepik pentrapelan, pirѳ srelmera, eskéѳ ánkui, kape manákutré miskai pishau yapalѳmerán, serik tulmeran, parentsikmeran, chíkepik pirau kepelan, Nu pirauclѳ án mártrap wesrap-kѳntrappe, trúyu misak mánte cala kuikwan, chiné teka misrep waraikwane, kalé marѳp mintíshime, tap isua ashá wesrap kѳntrai trúyu warapelepe tap aship kemik kѳntrai kѳn.;Paragrafo: Los pueblos de los territorios indígenas vigilarán muy bien los recursos naturales y culturales, los sitios sagrados donde los antepasados guardaron sus pertenencias (lugares arqueológicos), las minas que hay debajo de la tierra (subsuelos), como el metal amarillo (oro), el agua candela (petróleo) y otros recursos son raices de la economía propia.
1004;8-9. Misakmera isup, aship purukup kѳntrai, misak pirѳmeryu pure waminchai, wesrua pensraiklepe, nupirau karupelainuk kui, kape chíkepen kepen, pek pek aship purukupelaimpa pintreké pentramisrtrún, tru trek kѳntrai Nu wamwan pѳrik manchipen ¡sua ashá mártrap.;8-9. Los representantes elegidos por los territorios indígenas para que discutan con los sabios del territorio mayor y con diferentes entidades, deben hacer cumplir lo que está escrito en la palabra mayor para apoyar el desarrollo de sus pueblos.
1005;7. Misak pirѳyu, mumerá kepen, kalѳ marѳp amtrumentrai, mayaelemisra aship kemik kѳntrún, trempeik kuayap kemé, tap waramikkѳntrai, nam misakmeran wenté kalѳ pumentrai, Nu pirau karupele mánte ashá marѳp kѳntráincha períku manchipen.;7. Los territorios indígenas deben ser vigilados entre todos para que no entren extraños que hagan daño y así puedan estar tranquilos sin violencia en el futuro, solo así se pueden hacer cumplir con lo que está escrito de como comportar por el que manda sentado en el territorio mayor.
